,name,link,upc,weight,price,rating_score,rating_count
0,Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Fresh - 9ct,www.target/p/clorox-disinfecting-wipes-bleach-free-cleaning-wipes-fresh-9ct/-/A-12992360,044600016658, 4.73 ounces,$0.99,4.9,2326
1,Clorox Value Pack Bleach Free Cleaning Scented Disinfecting Wipes,www.target/p/clorox-value-pack-bleach-free-cleaning-scented-disinfecting-wipes/-/A-79389937?preselect=12992469#lnk=sametab,044600302089, 2052.0 cubic-in,$5.99 ,4.8,15862
2,BISSELL Stomp 'n Go 20pk Pet Stain Lifting Pads - 2194,www.target/p/bissell-stomp-n-go-20pk-pet-stain-lifting-pads-2194/-/A-53529829,011120241402, 1.42 ounces,$24.99,4.7,69
3,Disinfecting Wipes Lemon and Fresh Scent - 75ct/4pk - Up&Up™,www.target/p/disinfecting-wipes-lemon-and-fresh-scent-75ct-4pk-up-38-up-8482/-/A-50876086,071287838174, 68 ounces,$9.99,4.7,80
4,Dawn Ultra Original Scent Dishwashing Liquid Dish Soap,www.target/p/dawn-ultra-original-scent-dishwashing-liquid-dish-soap/-/A-78259812?preselect=75666580#lnk=sametab,037000397137, 7 fl oz (US),$0.99 ,4.8,3326
5,Woolite Carpet Pet Stain & Odor + Oxy,www.target/p/woolite-carpet-pet-stain-38-odor-oxy/-/A-51676841,011120004076, 22 ounces,$4.99,4.9,109
6,Lysol Crisp Linen Disinfectant Spray To Go - 1oz,www.target/p/lysol-crisp-linen-disinfectant-spray-to-go-1oz/-/A-21483126,019200791328, 1.0 ounces,$2.29,5 o,5
7,Windex Original Glass Cleaner,www.target/p/windex-original-glass-cleaner/-/A-79389976?preselect=53411349#lnk=sametab,119800002029, 26 fl oz (US),$3.29 ,3.9,293
8,Clorox Citrus Blend Disinfecting Wipes - Crisp Lemon,www.target/p/clorox-citrus-blend-disinfecting-wipes-crisp-lemon/-/A-79389928?preselect=12992354#lnk=sametab,044600016283, 19.7 ounces,$4.49 ,4.8,15763
9,Cascade Complete Dishwasher Detergent Gel with Dawn Grease Fighting Power - Citrus Breeze Scent - 75oz,www.target/p/cascade-complete-dishwasher-detergent-gel-with-dawn-grease-fighting-power-citrus-breeze-scent-75oz/-/A-13044037,037000433576, 75.0 ounces,$5.99,4.5,4642
10,Clorox Toilet Bowl Cleaner with Bleach - Rain Clean - 24oz/2pk,www.target/p/clorox-toilet-bowl-cleaner-with-bleach-rain-clean-24oz-2pk/-/A-13025566,044600002736, 48.0 ounces,$3.29,4.5,157
11,Disinfectant Spray - Linen Scent - 19 oz - Up&Up™,www.target/p/disinfectant-spray-linen-scent-19-oz-up-38-up-8482/-/A-14695562,059647850035, 19.0 ounces,$2.99,4.7,48
12,Dawn Platinum Powerwash Dish Spray - Dish Soap - Fresh Scent - 16 fl oz,www.target/p/dawn-platinum-powerwash-dish-spray-dish-soap-fresh-scent-16-fl-oz/-/A-77789611,037000523642, 16 fl oz (US),$4.99,4.9,11
13,Lysol Disinfectant Spray - 19 fl oz,www.target/p/lysol-disinfectant-spray-19-fl-oz/-/A-53587885?preselect=14214405#lnk=sametab,019200793292, 19.0 ounces,$5.99,4.0,383
14,Sprawyway Glass Cleaner,www.target/p/sprawyway-glass-cleaner/-/A-79389974?preselect=13933228#lnk=sametab,041911000505, 19.0 ounces,$1.99 ,4.8,60
15,Clorox Regular Liquid Bleach,www.target/p/clorox-regular-liquid-bleach/-/A-79390112?preselect=14711229#lnk=sametab,044600307695, 64.0 ounces,$2.59 ,4.8,8827
16,Scotch-Brite® Non-Scratch Scrub Sponge,www.target/p/scotch-brite-174-non-scratch-scrub-sponge/-/A-52893690?preselect=76165591#lnk=sametab,021200598463,0,$1.79 ,4.8,2256
17,Clorox Splash-Less Liquid Bleach - Regular - 55oz,www.target/p/clorox-splash-less-liquid-bleach-regular-55oz/-/A-14711216,044600307831, 55.0 ounces,$2.49,4.8,1198
18,Mrs. Meyer's Peony Scented Liquid Hand Soap - 12.5 fl oz,www.target/p/mrs-meyer-s-peony-scented-liquid-hand-soap-12-5-fl-oz/-/A-16989086,808124171084,0,$3.99,4.9,213
19,Glass Window Cleaner - 26 fl oz - Up&Up™,www.target/p/glass-window-cleaner-26-fl-oz-up-up-8482/-/A-76078862,059647850561, 26 ounces,$2.49,4 o,6
