,name,link,upc,price,rating,reviews
0,Tide Liquid Laundry Detergent Plus Downy April Fresh (37 fl oz ),http://www.walgreens.com/store/c/tide-liquid-laundry-detergent-plus-downy-april-fresh/ID=prod6370864-product, 03700073975,4.99,4.2,280
1,Glade Carpet & Room Odor Eliminator Powder (32 Ounces ),http://www.walgreens.com/store/c/glade-carpet-&-room-odor-eliminator-powder/ID=prod2560908-product, 04650015474,3.29,4.8,39
2,Scrubbing Bubbles Foaming Disinfectant Citrus (32 oz ),http://www.walgreens.com/store/c/scrubbing-bubbles-foaming-disinfectant-citrus/ID=prod6201268-product, 02570070755,3.99,4.6,188
3,Tide Ultra Stain Release High Efficiency Liquid Detergent Original (37 fl oz ),http://www.walgreens.com/store/c/tide-ultra-stain-release-high-efficiency-liquid-detergent-original/ID=prod6370863-product, 03700087589,4.99,4.3,246
4,Palmolive Oxy Dish Soap (20 oz ),http://www.walgreens.com/store/c/palmolive-oxy-dish-soap/ID=prod6345654-product, 03500045041,,5.0,2
5,Xtra Plus OxiClean Liquid Detergent Crystal Clean (51 fl oz ),http://www.walgreens.com/store/c/xtra-plus-oxiclean-liquid-detergent-crystal-clean/ID=prod6370865-product, 09451442886,3.49,5.0,2
6,Drano Max Gel Clog Remover (32 Ounces ),http://www.walgreens.com/store/c/drano-max-gel-clog-remover/ID=prod6010094-product, 01980000117,,,
7,Scrubbing Bubbles Vanish Drop-In Bowl Cleaner Blue (3 ea ),http://www.walgreens.com/store/c/scrubbing-bubbles-vanish-drop-in-bowl-cleaner/ID=prod6273130-product, 01980070480,4.19,,
8,Palmolive Dish Soap Lavender (20 oz ),http://www.walgreens.com/store/c/palmolive-dish-soap-lavender/ID=prod6345653-product, 03500045043,2.49,2.7,3
9,Tide With Febreze Freshness Liquid Detergent Spring and Renewal (37 fl oz ),http://www.walgreens.com/store/c/tide-with-febreze-freshness-liquid-detergent-spring-and-renewal/ID=prod6370866-product, 03700087563,4.99,3.9,398
10,Palmolive Dish Soap Original (20 fl oz ),http://www.walgreens.com/store/c/palmolive-dish-soap-original/ID=prod6345658-product, 03500045118,2.49,4.4,812
11,Tide With Febreze Freshness High Efficiency Liquid Detergent Sport (37 fl oz ),http://www.walgreens.com/store/c/tide-with-febreze-freshness-high-efficiency-liquid-detergent-sport/ID=prod6370887-product, 03700088577,4.99,3.6,307
12,Drano Max Gel Clog Remover (80 oz ),http://www.walgreens.com/store/c/drano-max-gel-clog-remover/ID=prod6248558-product, 01980040109,,,
