href,name,upc,currency,price,customer_rating,number_of_reviews,seller,ingredients
http://walmart.com/ip/Great-Value-Lavender-Scent-Multi-Purpose-Cleaner-1-gal/49932621,"Great Value Lavender Scent Multi-Purpose Cleaner, 1 gal",078742105192,$,4.44,4.5,55,Walmart,"Water, 7732-18-5, Intentionally added non-fragrance, Diluent C9-11 Alcohols Ethoxylated, 68439-46-3, Intentionally added non-fragrance, Surfactant Sodium xylenesulphonate (SXS), 1300-72-7, Intentionally added non-fragrance, Surfactant Tetrasodium EDTA, 64-02-8, Intentionally added non-fragrance, Clelating agent Citric acid, 77-92-9, Intentionally added non-fragrance, pH adjuster Sodium Hydroxymethylglycinate, 70161-44-3, Intentionally added non-fragrance, Preservative Dioxazine Violet, 6358-30-1, Intentionally added non-fragrance, Dye Red dye (HC RED K DYE), Not available, Intentionally added non-fragrance, Dye Fragrance Ingredients, Withheld as CBI, Intentionally added fragrance, Fragrance Benzyl Acetate, 140-11-4, Intentionally added fragrance, Fragrance ingredient Isobornyl Acetate, 125-12-2, Intentionally added fragrance, Fragrance ingredient Butylcyclohexyl Acetate, 32210-23-4, Intentionally added fragrance, Fragrance ingredient Camphor, 76-22-2, Intentionally added fragrance, Fragrance ingredient Dipropylene Glycol, 25265-71-8, Intentionally added fragrance, Fragrance ingredient Eucalyptus Extract, 8000-48-4, Intentionally added fragrance, Fragrance ingredient Jasmacyclene, 2500-83-6; 5413-60-5, Intentionally added fragrance, Fragrance ingredient Butylphenyl Methylpropional, 80-54-6, Intentionally added fragrance, Fragrance ingredient, Present on EU Fragrance Allergens list Terpinolene, 80-26-2, Intentionally added fragrance, Fragrance ingredient Terpinyl Acetate, 80-26-2, Intentionally added fragrance, Fragrance ingredient"
http://walmart.com/ip/All-Purpose-Cleaning-Concentrate-by-The-Laundress/400162301,All-Purpose Cleaning Concentrate by The Laundress,859675001689,$,9.23,0,0,Walmart,"A concentrated blend of plant-derived anionic and nonionic surfactants, mineral-derived cleaning enhancer (sodium gluconate), plant-derived grease-cutting agent (triethyl citrate), essential oils, and fragrance."
http://walmart.com/ip/Mrs-Meyer-s-Clean-Day-Multi-Surface-Concentrate-Bottle-Lemon-Verbena-Scent-32-fl-oz/39574256,"Mrs. Meyer's Clean Day Multi-Surface Concentrate Bottle, Lemon Verbena Scent, 32 fl oz",808124124400,$,8.88,4.8,34,Walmart,"Water, Decyl Glucoside, Sodium Methyl 2-Sulfolaurate, Polysorbate 20, Sodium Citrate, Citrus Limon (Lemon) Peel Oil, Abies Alba (Fir) Leaf Oil, Cymbopogon Schoenanthus (Lemongrass) Oil, Fragrance, Citric Acid, Tetrasodium Glutamate Diacetate, Sodium Sulfate, Sodium Hydroxide, PEG-5 Cocoate, Methylisothiazolinone, Benzisothiazolinone"
http://walmart.com/ip/Mrs-Meyer-s-Clean-Day-Multi-Surface-Concentrate-Bottle-Honeysuckle-Scent-32-fl-oz/40819215,"Mrs. Meyer's Clean Day Multi-Surface Concentrate Bottle, Honeysuckle Scent, 32 fl oz",808124175402,$,7.82,4.9,18,Walmart,"Water, Decyl Glucoside, Sodium Methyl 2-Sulfolaurate, Sodium Citrate, Polysorbate 20, Citrus Aurantium Dulcis (Orange) Peel Oil, Cananga Odorata (Ylang Ylang) Flower Oil, Lonicera Japonica (Honeysuckle) Flower Extract, Fragrance, Glycerin, Citric Acid, Tetrasodium Glutamate Diacetate, Sodium Sulfate, Sodium Hydroxide, PEG-5 Cocoate, Methylisothiazolinone, Benzisothiazolinone"
http://walmart.com/ip/Fabuloso-All-Purpose-Cleaner-Lavender-128-fluid-ounce/32176878,"Fabuloso All Purpose Cleaner, Lavender - 128 fluid ounce",035000530585,$,5.78,4.8,431,Walmart,
http://walmart.com/ip/Scotch-Brite-Non-Scratch-Scrub-Sponge-6-Count/13281234,"Scotch-Brite Non-Scratch Scrub Sponge, 6 Count",021200475313,$,5.22,4.8,2376,,
http://walmart.com/ip/Pledge-Lemon-Enhancing-Polish-9-7-oz/20636270,Pledge Lemon Enhancing Polish 9.7 oz,046500723728,$,4.68,4.7,84,Walmart,"Water, Isoparaffin, Dimethicone, Sorbitan Oleate, Nitrogen, Glycerin, Fragrance, 2-Bromo-2-Nitropropane-1, 3-Diol. SCJ Formula #35*32815"
http://walmart.com/ip/Clorox-ToiletWand-Disinfecting-Refills-Disposable-Wand-Heads-20-Count/14664731,"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 20 Count",044600305226,$,8.88,4.6,1970,Walmart,"Glycolic Acid 11.185%, other ingredients 88.815%."
http://walmart.com/ip/Sprayway-World-s-Best-Glass-Cleaner-Value-Pack-2x19-OZ/138067849,"Sprayway World's Best Glass Cleaner, Value Pack, 2x19 OZ",041911020503,$,4.28,4.8,154,Walmart,Ethyl Alcohol
http://walmart.com/ip/2-pack-Arm-Hammer-Extra-Strength-Carpet-Odor-Eliminator-30-oz/219500368,"(2 pack) Arm & Hammer Extra Strength Carpet Odor Eliminator, 30 oz",,$,3.28,4.7,186,,
