upc,target_name,walmart_name,target_price,walmart_price,cheaper_retailer
8.08124E+11,Mrs. Meyer's Lemon Verbena Multi-Surface Concentrate - 32 fl oz,"Mrs. Meyer's Clean Day Multi-Surface Concentrate Bottle, Lemon Verbena Scent, 32 fl oz",8.99,8.88,Walmart
8.08124E+11,Mrs. Meyer's Honeysuckle Multi-Surface Concentrate - 32 fl oz,"Mrs. Meyer's Clean Day Multi-Surface Concentrate Bottle, Honeysuckle Scent, 32 fl oz",8.99,7.82,Walmart
44600305226,Clorox ToiletWand Disinfecting Refills Disposable Wand Heads - 20ct,"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 20 Count",7.99,8.88,Target
41785998151,O-Cedar Easy Wring Spin Mop and Bucket,O-Cedar EasyWring Spin Mop & Bucket System,29.99,29.98,Walmart
44600309910,Clorox Automatic Toilet Bowl Cleaner Tablets Bleach & Blue - Rain Clean - 2.47oz Each/4ct,"Clorox Ultra Clean Toilet Tablets Bleach & Blue, Rain Clean Scent - 2.47 Ounces Each, 4 Count",9.99,8.58,Walmart
44600305486,Liquid-Plumr Pro-Strength Clog Remover Urgent Clear 17 oz,"Liquid-Plumr Urgent Clear, our fastest clog remover, 17 Ounces",3.99,3.87,Walmart
19200837217,Lysol Spring Waterfall No Mess Automatic Toilet Bowl Cleaner 2 ct,"Lysol Hygienic Automatic Toilet Bowl Cleaner, Atlantic Fresh, 2ct",2.99,2.97,Walmart
37000265368,"Swiffer WetJet Liquid Refills, Lavender Vanilla & Comfort","Swiffer WetJet Multi-Purpose Floor Cleaner Solution Refill, Lavender Vanilla and Comfort Scent, 2 Ct, 1.25L each",5.39,9.42,Target
78291310825,CLR Calcium Lime and Rust Remover 28 oz,"CLR Calcium Lime & Rust Remover, Household Cleaner, 28 Oz Bottle",4.99,4.77,Walmart
51700871032,"Lime-A-Way Lime Calcium Rust Cleaner, 22oz","Lime-A-Way Bathroom Cleaner, 22oz Bottle, Removes Lime Calcium Rust",4.19,9.97,Target
71618116261,Bar Keepers Friend Liquid Cleanser 26 oz,"Bar Keepers Friend Soft Cleanser Liquid, 26 fl oz",2.69,2.52,Walmart
41598000706,Weiman Cook Top Daily Cleaner 12 oz,"Weiman Ceramic & Glass Cooktop Cleaner, 12 oz",4.39,4.12,Walmart
51700988976,Finish In-Wash Dishwasher Cleaner with Grease Removal - 3ct,"Finish In-wash Dishwasher Cleaner: Clean Hidden Grease and Grime, 3ct",4.99,4.97,Walmart
41598000027,Weiman Stainless Steel Cleaner and Polish 12 oz,Weiman Stainless Steel - Cleaner and Polish 12 oz,4.39,4.12,Walmart
19200006019,Resolve Stain Remover Carpet Cleaner - 22oz,"Resolve Carpet Cleaner Spray Spot & Stain Remover, 22oz",3.99,3.94,Walmart
37000255741,Ivory Ultra Concentrated Dish washing Liquid Soap - Classic Scent - 24 fl oz,"Ivory Ultra Concentrated Liquid Dish Soap, Classic Scent, 24 Fl Oz",2.89,2.67,Walmart
8.59547E+11,Sponge Daddy Sponge - 4pk,"Scrub Daddy, Dual-sided Sponge Scrubber, 4 Count",4.69,4.68,Walmart
7.32913E+11,Seventh Generation Free & Clear Dishwasher Detergent Powder - 75oz,"Seventh Generation Free & Clear Dishwasher Detergent Powder, 75 oz",6.49,6.49,Tie
41785998403,O-Cedar Pro Mist Max Spray Mop,O-Cedar ProMist MAX Microfiber Spray Mop,19.99,19.98,Walmart
70481010300,Murphy Clean & Shine Multi-Use Oil Soap Wood Cleaner - 22oz,"Murphy Oil Soap Spray Wood Cleaner, Orange - 22 fluid ounce",3.19,2.98,Walmart
37000990376,Swiffer Dusters Multi-Surface Refills with Febreze Lavender Scent - 18ct,"Swiffer 180 Dusters, Febreze Lavender Vanilla & Comfort Scent, 18 Ct",11.99,11.97,Walmart
41785998168,O-Cedar Easy Wring Spin Mop Refill- White,O Cedar EasyWring Microfiber Spin Mop Refill,7.99,7.93,Walmart
71736020303,Libman White Tornado Twist Mop,Libman Tornado Mop,10.29,9.97,Walmart
8.08124E+11,Mrs. Meyer's Clean Day Liquid Dish Soap Lemon Verbena - 16oz Bottle,"Mrs. Meyer's Clean Day Liquid Dish Soap Bottle, Lemon Verbena, 16 fl oz",3.89,3.88,Walmart
44600310190,Liquid-Plumr Pro-Strength Clog Remover Hair Clog Eliminator 16 oz,"Liquid-Plumr Hair Clog Eliminator removes tough hair clogs, 16 Ounces",4.99,4.34,Walmart
11120230536,BISSELL MultiSurface Floor Cleaning Formula for CrossWave & SpinWave,"Bissell Multi-Surface Floor Cleaning Formula, 32.0 FL OZ",9.99,9.87,Walmart
70048778193,Goo Gone Spray Gel Fresh Citrus 12 oz,Goo Gone Original Spray Gel - 12 Ounce,4.39,4.12,Walmart
41598000478,Weiman Leather Wipes - 30ct,"Weiman Leather Cleaner Wipes, 30 Count",3.89,3.62,Walmart
7.03074E+11,Lemi Shine Dishwasher Cleaner - 4pk,"Lemi Shine Dishwasher Cleaner With Natural Citric Extracts, 4ct",6.99,2.48,Walmart
7.03074E+11,Lemi Shine Dish Detergent Booster,"Lemi Shine Dishwasher Detergent Booster, Natural Fresh Lemon Scent, 24oz",4.89,8.28,Target
8.92245E+11,Dapple Bottle & Dish Soap - Fragrance Free - 16.9 fl oz,"Dapple Baby Bottle and Dish Liquid, Fragrance Free, 16.9 fl oz",4.99,4.96,Walmart
43152015317,Pinalen Pine Cleaner 128 oz,"PINALEN® Original Multipurpose Cleaner, 128 fl. oz. with 5X More Pine Oil",4.49,24.84,Target
41598000546,Weiman Granite Wipes - 30ct,Weiman Granite Cleaner Wipes - 30 Count,3.89,3.74,Walmart
78786777775,Quick Shine Multi Surface Floor Finish - 27oz,"Quick Shine Multi-Surface Floor Finish, 27 fl oz",5.69,5.47,Walmart
6.00606E+11,As Seen on TV 24ct Lemon Scented Sani Sticks,"Lemon Fresh Sani Sticks Drain Cleaner and Deodorizer, 24 Count As Seen on TV",9.89,17.95,Target
76308910532,Scotch-Brite® Scrub Dots Non-Scratch Scrub Sponge,"Scotch-Brite Non-Scratch Scrub Dots Scrub Sponge, 6 Count",3.49,6.18,Target
37000523642,Dawn Platinum Powerwash Dish Spray - Dish Soap - Fresh Scent - 16 fl oz,"Dawn Platinum Powerwash Dish Spray, Dish Soap, Fresh Scent, 16 Fl Oz",4.99,4.94,Walmart
78786111517,Quick Shine Floor Cleaner - 27 fl oz,"Quick Shine Multi-Surface Floor Cleaner, 27 Oz",4.99,3.88,Walmart
7.37025E+11,Bona Microfiber Floor Mop,Bona® Microfiber Mop,15.99,14.97,Walmart
7.37025E+11,Bona High Gloss Hardwood Floor Polish 24-oz.,Bona® Hardwood Floor Polish 24oz - High Gloss,15.79,14.97,Walmart
6.86025E+11,Innovera Screen Cleaning Pop - Up Wipes - 120/Pack,Innovera - Cleaning wipes - white,2.69,2.66,Walmart
76308909949,Scotch-Brite® Scrub Dots Heavy Duty Scrub Sponge,"Scotch-Brite Heavy Duty Scrub Dots Scrub Sponge, 3 Count",3.49,2.82,Walmart
8.08124E+11,Mrs. Meyer's Geranium Dish Soap - 16 fl oz,"Mrs. Meyer's Clean Day Dish Soap, Geranium, 16 ounce bottle",3.89,3.88,Walmart
80313014031,Clorox Scrubtastic Multi-Purpose Surface Power Scrubber,"Clorox Scrubtastic Multi-Purpose Surface Scrubber and Cleaner, 1 Pack, White",39.99,39.88,Walmart
8.92245E+11,Dapple Baby Bottle & Dish Soap - Sweet Lavender - 16.9 fl oz,"Dapple Baby Bottle and Dish Liquid, Lavender, 16.9 fl oz",4.99,24.54,Target
71736040028,Libman Freedom Spray Mop,Libman Freedom Spray Mop,20.99,20.57,Walmart
19200826105,Resolve Pet Steam 2X Concentrated Large Area Carpet Cleaning Liquid 60-oz.,"Resolve Pet Carpet Steam Cleaner Solution, 60oz Bottle, 2X Concentrate",16.69,16.67,Walmart
37000417675,Swiffer Dusters Multi-Surface Refills - 10ct,"Swiffer Dusters 180 Refills, Unscented, 10 count",7.99,7.97,Walmart
44600313252,Clorox Urine Remover for Stains and Odors Spray Bottle - 32oz,"Clorox Urine Remover for Stains and Odors, Spray Bottle, 32 Ounces",4.99,4.98,Walmart
51135814291,Scotch-Brite Heavy Duty Scrub Sponges Lemon Scent- 3pk,"Scotch-Brite Heavy Duty Scrub Sponges, Lemon Scent, 3 Count",3.99,3.86,Walmart
37000803935,Mr. Clean Variety Pack Assortment Magic Eraser Cleaning Pads 6 ct,"Mr. Clean Magic Eraser Cleaning Pads with Durafoam, Variety Pk, 6 Ct",7.99,7.97,Walmart
8.17939E+11,Method Cleaning Products Wood for Good Polish Spray Bottle 12 fl oz,"Method Wood For Good Polish, Wood Cleaner, Almond, 12 Ounce",3.99,15.74,Target
8.17939E+11,Method Cleaning Products Squirt + Mop Wood Floor Cleaner Almond 25 fl oz,"Method Squirt + Mop Hardwood Floor Cleaner, Almond, 25 Ounce",4.99,4.99,Tie
40282252407,As Seen on TV Full Crystal Window and Outdoor Surface Cleaner,"Full Crystal Window and Outdoor Surface Cleaner by Fuller Brush, As Seen on TV",9.79,15.99,Target
8.08125E+11,Mrs. Meyer's Liquid All Purpose Cleaner - Lilac - 16 fl oz,"Mrs. Meyer's Clean Day Multi-Surface Everyday Cleaner, Lilac Scent, 16 ounce bottle",3.99,4,Target
8.17939E+11,Method Cleaning Products Kitchen Degreaser Lemongrass Spray Bottle - 28 fl oz,"Method Heavy Duty Degreaser, Oven Cleaner and Stove Top Cleaner, Lemongrass, 28 Ounce",3.99,3.99,Tie
8.08124E+11,Mrs. Meyer's Lavender Glass Cleaner - 24 fl oz,"Mrs. Meyer's Clean Day Glass Cleaner Bottle, Lavender Scent, 24 fl oz",5.49,4.11,Walmart
75919829080,Deck Fence and Patio Wash - Mold Armor,Mold Armor Deck Wash Hose-End 64OZ,6.99,6.72,Walmart
51141913131,3M Scotch-Brite Non-Scratch Tub & Shower Scrubber,Scotch-Brite Handheld Non-Scratch Soap Scum and Bath Scrubber,3.69,4.64,Target
8.17939E+11,Method Cleaning Products Daily Granite Refill Apple Orchard - 68 fl oz,"Method Daily Granite Cleaner Refill, Apple Orchard, 68 Ounce",11.99,10.79,Walmart
8.17939E+11,Method Cleaning Products Daily Granite Mandarin Orange Spray Bottle 28 fl oz,"Method Daily Granite Cleaner, Orange Tangerine, 28 Ounce",5.99,5.99,Tie
8.17939E+11,Method Clementine Dish Soap 18 oz,"Method Dish Soap, Clementine, 18 Ounce",3.49,3.49,Tie
8.08124E+11,Mrs. Meyer's Lemon Verbena Auto Dish Soap - 0.71oz,"Mrs. Meyer's Clean Day Dishwasher Detergent Packs, Lemon Verbena, 20 Count",8.99,15.79,Target
8.17939E+11,Method Lemon Mint Dish Soap 18 oz,"Method Dish Soap, Lemon Mint, 18 Ounce",3.49,3.49,Tie
8.17939E+11,Method Cleaning Products Wood Floor Cleaner Refill Almond 68 fl oz,"Method Squirt + Mop Hardwood Floor Cleaner Refill, Almond, 68 Ounce",11.29,10.99,Walmart
7.32913E+11,Seventh Generation Summer Orchard Dish Liquid - 22oz,"Seventh Generation Summer Orchard Dish Liquid Soap, 22oz",3.39,3.27,Walmart
51125002172,Scotchgard Fabric & Carpet Cleaner - 14oz,"Scotchgard Fabric & Carpet Cleaner, 14 oz., 1 Can",5.69,5.69,Tie
8.11434E+11,Honey-Can-Do 14oz Spray Bottle,"Honey Can Do Stainless Steel 14-Ounce Spray Bottle, Silver",14.69,14.5,Walmart
11120240276,BISSELL CrossWave and SpinWave 3pk Multi Surface Formula 17893,Bissell® Spring Breeze Multi-Surface Floor Cleaning Formula 3- 32 oz. Bottles,29.99,29.99,Tie
71736001951,Libman Microfiber Dust Mop,Libman Microfiber Dust Mop,14.49,20.97,Target
8.08124E+11,Mrs. Meyer's Clean Day Rose Multi surface Cleaner - 16 fl oz,"Mrs. Meyer’s Clean Day Multi-Surface Cleaner, Rose Scent, 16 Ounce Bottle",3.99,3.88,Walmart
71736011639,Libman Spin Mop & Bucket,Libman Spin Mop & Bucket,33.49,33.49,Tie
11120223781,Febreze with Gain Scent Oxy Formula,"Febreze with Gain Scent Oxy Formula, 60oz, 1462A",19.99,19.88,Walmart
8.17939E+11,Method Dishwasher Detergent Power Packets Free & Clear - 45ct,"Method Power Dish Dishwasher Detergent Packs, Free + Clear, 45 count",10.99,9.89,Walmart
6.3806E+11,Scotch-Brite Fresh Scrub Non - Scratch Scrubber - 1ct,"Scotch-Brite Fresh Scrub Non-Scratch Scrubber, 1 Count",3.59,3.37,Walmart
44600002286,Liquid-Plumr Pro-Strength Full Clog Destroyer Plus PipeGuard - 80 fl oz,"Liquid-Plumr Pro-Strength Full Clog Destroyer Plus PipeGuard, 80 Ounces",6.99,7.33,Target
